ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
68,female,60,Yes,0,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending too much,Yes
69,male,43,No,0,Graduate degree,19,disagree,Believe in god sometimes,not too happy,spending too little,Yes
70,male,49,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
71,male,74,Yes,2,Associates,14,agree,"Don't know, no way to find out",not too happy,spending too little,No
72,female,41,Yes,1,Graduate degree,20,disagree,Believe without a doubt,pretty happy,spending too little,Yes
73,male,46,No,0,Associates,16,disagree,Belief in a higher power,pretty happy,spending too much,Yes
74,female,79,Yes,2,Graduate degree,18,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
75,male,74,Yes,3,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
76,male,74,Yes,3,Bachelors,16,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
77,male,65,Yes,2,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
78,female,36,Yes,0,High School,13,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
79,female,43,Yes,4,High School,14,agree,Believe without a doubt,pretty happy,spending too much,Yes
80,female,67,Yes,2,Less than High School,10,agree,Believe without a doubt,not too happy,spending too much,Yes
81,female,36,No,2,Graduate degree,16,disagree,Atheist,Very happy,spending about the right amount,No
82,female,40,Yes,2,Bachelors,17,agree,Belief in a higher power,pretty happy,spending too little,Yes
83,male,33,Yes,0,High School,16,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
84,male,57,Yes,2,High School,12,agree,Atheist,pretty happy,spending too little,No
85,male,69,Yes,4,High School,12,agree,Belief in a higher power,pretty happy,spending too little,No
86,male,67,Yes,0,Graduate degree,20,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
87,male,28,Yes,1,High School,10,agree,Atheist,not too happy,spending about the right amount,Yes
88,female,41,Yes,3,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
89,female,64,Yes,1,High School,12,agree,"Believe, but with some doubts",not too happy,spending too much,Yes
90,female,58,Yes,0,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
91,female,85,Yes,5,High School,12,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
92,female,53,Yes,0,High School,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
93,female,59,Yes,1,High School,13,agree,Believe without a doubt,not too happy,spending too little,Yes
94,male,39,Yes,6,High School,19,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
95,male,35,No,4,Less than High School,0,agree,Believe without a doubt,Very happy,spending too much,Yes
