ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
421,male,31,Yes,1,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
422,female,62,Yes,2,Bachelors,20,agree,Belief in a higher power,not too happy,spending too little,Yes
423,male,62,Yes,1,Graduate degree,18,disagree,Believe without a doubt,not too happy,spending too little,Yes
424,female,40,Yes,2,High School,12,disagree,Belief in a higher power,Very happy,spending too much,Yes
425,female,45,No,2,Graduate degree,18,agree,Believe in god sometimes,pretty happy,spending too little,Yes
426,male,74,Yes,4,Graduate degree,16,agree,Atheist,pretty happy,spending too little,No
427,female,51,Yes,3,High School,15,unsure,Believe without a doubt,pretty happy,spending too little,Yes
428,male,89,Yes,5,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
429,female,71,Yes,2,Graduate degree,16,agree,Atheist,pretty happy,spending about the right amount,No
430,female,51,No,0,Graduate degree,17,agree,Atheist,pretty happy,spending about the right amount,No
431,female,61,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
432,male,42,No,4,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
433,female,55,Yes,0,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
434,male,55,No,4,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
435,male,82,Yes,1,Graduate degree,18,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
436,male,41,Yes,0,Graduate degree,17,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
437,female,73,Yes,2,Graduate degree,18,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
438,female,74,Yes,2,Graduate degree,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
439,female,51,No,2,Bachelors,18,disagree,Belief in a higher power,Very happy,spending too little,Yes
440,female,36,No,0,Bachelors,16,unsure,Atheist,Very happy,spending too little,Yes
441,male,64,No,3,Bachelors,17,agree,Atheist,not too happy,spending about the right amount,No
442,female,37,Yes,0,High School,14,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
443,female,76,Yes,0,Bachelors,17,unsure,Belief in a higher power,Very happy,spending about the right amount,Yes
444,male,52,No,1,High School,14,agree,"Believe, but with some doubts",not too happy,spending too much,No
445,male,59,No,2,Graduate degree,18,agree,"Don't know, no way to find out",Very happy,spending about the right amount,No
446,male,42,No,2,Bachelors,15,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
447,female,47,No,2,Bachelors,16,agree,Believe in god sometimes,pretty happy,spending too little,Yes
448,male,58,Yes,0,Bachelors,16,agree,Belief in a higher power,Very happy,spending about the right amount,Yes
449,female,63,Yes,5,High School,14,disagree,Believe without a doubt,pretty happy,spending about the right amount,No
450,female,61,No,1,Bachelors,16,agree,Believe without a doubt,not too happy,spending too little,Yes
451,female,64,Yes,3,High School,14,agree,Believe without a doubt,Very happy,spending about the right amount,No
452,female,38,No,2,Graduate degree,19,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
453,female,61,No,1,Less than High School,8,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
454,female,36,Yes,3,High School,15,agree,Believe without a doubt,pretty happy,spending about the right amount,No
455,male,53,Yes,3,High School,12,unsure,"Don't know, no way to find out",not too happy,spending about the right amount,No
456,female,31,Yes,5,High School,13,agree,Belief in a higher power,pretty happy,spending too much,Yes
457,female,38,No,1,Graduate degree,19,agree,Believe without a doubt,not too happy,spending too little,No
458,male,56,No,3,Bachelors,16,disagree,Belief in a higher power,Very happy,spending too little,No
459,male,31,No,0,Graduate degree,17,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
460,male,48,No,0,Bachelors,17,agree,Believe without a doubt,not too happy,spending too little,Yes
461,female,46,Yes,1,Graduate degree,19,agree,"Believe, but with some doubts",Very happy,spending too little,No
462,male,45,No,1,Less than High School,7,agree,Atheist,pretty happy,spending too little,No
463,female,50,No,2,High School,15,agree,Believe without a doubt,pretty happy,spending too little,Yes
464,female,54,Yes,1,High School,14,agree,Believe without a doubt,not too happy,spending too little,Yes
465,male,21,Yes,0,Associates,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
466,female,27,Yes,0,Associates,16,unsure,Believe in god sometimes,pretty happy,spending too little,Yes
467,male,38,Yes,0,High School,14,disagree,Believe without a doubt,not too happy,spending too much,Yes
468,male,49,Yes,0,Graduate degree,18,agree,"Don't know, no way to find out",pretty happy,spending too little,No
469,male,80,Yes,3,Graduate degree,18,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
470,female,72,Yes,3,Associates,14,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
471,female,63,Yes,1,Associates,13,agree,Belief in a higher power,pretty happy,spending too little,Yes
472,male,52,Yes,3,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending too little,No
473,female,84,Yes,4,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
474,male,81,Yes,2,Graduate degree,20,disagree,Belief in a higher power,not too happy,spending too little,No
475,female,46,Yes,2,High School,12,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
476,male,28,Yes,1,Associates,14,agree,Believe in god sometimes,not too happy,spending too little,Yes
477,female,38,Yes,5,High School,13,agree,Atheist,not too happy,spending too little,Yes
478,female,47,Yes,0,Associates,14,disagree,"Believe, but with some doubts",not too happy,spending too little,Yes
479,female,81,Yes,2,High School,12,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
480,male,63,Yes,2,Bachelors,16,unsure,Belief in a higher power,pretty happy,spending about the right amount,Yes
481,male,36,No,0,Associates,15,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
482,female,34,Yes,6,High School,11,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
483,male,70,Yes,2,Bachelors,17,disagree,Believe without a doubt,Very happy,spending too little,Yes
484,female,57,Yes,2,High School,12,disagree,Atheist,Very happy,spending too little,No
485,female,63,Yes,2,Graduate degree,19,unsure,Believe without a doubt,pretty happy,spending too little,Yes
486,female,72,Yes,2,High School,13,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
487,male,45,Yes,0,Bachelors,15,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
488,female,65,Yes,4,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
489,male,45,Yes,0,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
490,female,41,Yes,1,Graduate degree,18,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
491,male,29,Yes,3,Less than High School,10,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
492,male,64,Yes,3,Graduate degree,20,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
493,female,44,Yes,1,High School,14,disagree,Believe without a doubt,Very happy,spending too much,Yes
494,male,65,Yes,3,Graduate degree,19,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
495,male,81,Yes,3,Graduate degree,18,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,No
496,male,52,Yes,3,Bachelors,17,agree,Believe in god sometimes,pretty happy,spending too little,Yes
497,female,19,Yes,0,Less than High School,11,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
498,male,59,Yes,0,High School,15,unsure,Believe in god sometimes,pretty happy,spending too little,Yes
499,male,30,Yes,0,Graduate degree,16,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
500,male,72,Yes,5,High School,16,disagree,"Don't know, no way to find out",pretty happy,spending too little,No
501,female,41,Yes,0,Graduate degree,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
502,male,79,Yes,2,Bachelors,16,disagree,Atheist,pretty happy,spending too little,No
503,female,54,Yes,2,Graduate degree,18,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
504,female,37,Yes,2,Graduate degree,18,unsure,Believe without a doubt,Very happy,spending too little,Yes
505,male,64,Yes,1,High School,16,agree,Atheist,not too happy,spending about the right amount,No
506,female,86,Yes,3,Graduate degree,18,agree,"Believe, but with some doubts",Very happy,spending about the right amount,Yes
507,male,24,Yes,0,Bachelors,14,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
508,female,31,Yes,0,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
509,female,55,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,No
510,female,56,No,3,High School,14,unsure,Atheist,Very happy,spending about the right amount,No
511,male,42,Yes,0,Graduate degree,20,agree,Atheist,not too happy,spending too little,No
512,female,37,No,4,High School,14,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
513,female,39,Yes,0,Bachelors,18,agree,Atheist,pretty happy,spending too little,No
514,male,69,Yes,3,Bachelors,16,disagree,Believe without a doubt,Very happy,spending too little,Yes
515,female,61,Yes,3,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
516,female,78,Yes,5,High School,13,disagree,Believe without a doubt,not too happy,spending too much,Yes
517,female,62,Yes,1,Graduate degree,20,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
518,female,84,Yes,3,Bachelors,14,disagree,Believe without a doubt,not too happy,spending too little,Yes
519,female,46,Yes,0,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too little,Yes
520,male,58,Yes,0,Graduate degree,18,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
521,male,86,Yes,2,High School,14,disagree,Believe without a doubt,Very happy,spending too much,Yes
522,male,65,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
523,female,34,Yes,4,Associates,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
524,female,37,Yes,1,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
525,female,59,Yes,0,High School,13,unsure,Belief in a higher power,pretty happy,spending about the right amount,Yes
526,male,62,Yes,2,Bachelors,18,agree,"Don't know, no way to find out",pretty happy,spending too little,No
527,male,40,No,2,Graduate degree,20,disagree,Belief in a higher power,Very happy,spending too little,Yes
528,female,52,Yes,1,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
529,male,32,Yes,0,Bachelors,16,agree,Believe in god sometimes,pretty happy,spending too little,Yes
530,male,50,Yes,4,High School,15,disagree,Belief in a higher power,pretty happy,spending about the right amount,Yes
531,female,58,Yes,1,Graduate degree,18,agree,Atheist,not too happy,spending too little,No
532,male,58,Yes,2,High School,14,disagree,Believe without a doubt,Very happy,spending too little,Yes
533,female,65,Yes,1,Graduate degree,19,unsure,"Believe, but with some doubts",pretty happy,spending too little,Yes
534,female,47,Yes,2,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too little,Yes
535,male,38,Yes,1,Bachelors,14,agree,Believe without a doubt,Very happy,spending too little,Yes
536,male,76,Yes,0,Graduate degree,20,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
537,male,31,Yes,0,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
538,female,64,Yes,0,Bachelors,16,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
539,female,37,Yes,2,High School,11,agree,Believe without a doubt,pretty happy,spending too little,Yes
540,male,30,Yes,0,High School,14,agree,Atheist,pretty happy,spending too little,No
541,female,34,Yes,1,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,Yes
542,female,28,Yes,1,Graduate degree,17,agree,Believe without a doubt,Very happy,spending too little,Yes
543,female,63,Yes,0,Associates,14,disagree,"Don't know, no way to find out",not too happy,spending too little,No
544,female,72,Yes,1,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
545,male,43,Yes,2,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
546,female,69,Yes,1,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
547,female,39,No,0,High School,15,agree,Atheist,pretty happy,spending too little,No
548,female,69,Yes,2,Associates,14,disagree,Believe without a doubt,pretty happy,spending too much,Yes
549,female,64,Yes,2,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
550,female,48,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
551,female,75,Yes,1,High School,15,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
552,male,27,Yes,1,High School,12,agree,"Believe, but with some doubts",not too happy,spending too much,Yes
553,male,67,Yes,2,High School,13,agree,Believe without a doubt,not too happy,spending too little,Yes
554,female,62,Yes,2,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,Yes
555,male,46,Yes,0,Graduate degree,19,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
556,male,33,No,2,Bachelors,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
557,female,49,Yes,0,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
558,female,39,No,3,Less than High School,13,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
559,female,33,Yes,1,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
560,male,85,Yes,1,Associates,15,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
561,female,76,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
562,male,69,Yes,2,Bachelors,17,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
563,male,49,Yes,5,Graduate degree,20,agree,Atheist,Very happy,spending too little,No
564,male,64,Yes,1,High School,14,agree,Believe without a doubt,not too happy,spending too little,Yes
565,female,39,Yes,8,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
566,female,49,Yes,0,Bachelors,16,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
567,male,82,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
568,male,52,Yes,1,Graduate degree,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
569,male,68,Yes,2,Bachelors,16,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
570,male,39,Yes,1,Graduate degree,19,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
571,male,41,Yes,8,Bachelors,20,agree,"Believe, but with some doubts",pretty happy,spending too much,No
572,male,45,Yes,0,Graduate degree,20,agree,Atheist,not too happy,spending too little,No
573,female,42,Yes,2,Graduate degree,18,disagree,"Believe, but with some doubts",not too happy,spending about the right amount,No
574,male,62,Yes,0,Graduate degree,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
575,female,59,No,1,Graduate degree,16,agree,Believe without a doubt,Very happy,spending too little,No
576,female,43,Yes,3,Associates,15,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
577,male,75,Yes,4,High School,12,disagree,Belief in a higher power,not too happy,spending too little,No
578,male,85,Yes,4,Bachelors,16,agree,Belief in a higher power,not too happy,spending about the right amount,No
579,male,59,Yes,6,High School,17,disagree,Belief in a higher power,pretty happy,spending too much,Yes
580,female,30,Yes,3,Graduate degree,16,disagree,Believe without a doubt,Very happy,spending too much,Yes
581,male,46,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
582,female,74,Yes,3,Bachelors,17,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
583,female,35,Yes,2,Associates,15,unsure,Believe without a doubt,Very happy,spending about the right amount,No
584,male,75,No,0,Graduate degree,18,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
585,male,67,Yes,1,Graduate degree,16,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
586,male,74,Yes,4,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
587,male,79,Yes,2,Graduate degree,18,agree,Believe in god sometimes,not too happy,spending too little,No
588,female,66,Yes,0,High School,12,unsure,Believe without a doubt,not too happy,spending about the right amount,No
589,male,44,Yes,1,Graduate degree,20,agree,Atheist,pretty happy,spending too little,No
590,male,56,Yes,3,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
591,female,67,Yes,2,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too little,Yes
592,male,68,Yes,2,Bachelors,16,agree,Believe without a doubt,Very happy,spending about the right amount,No
593,female,46,Yes,2,Bachelors,19,agree,Believe without a doubt,not too happy,spending too little,Yes
594,male,19,No,0,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
595,female,78,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
596,male,55,Yes,2,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
597,female,54,No,4,Associates,14,agree,Believe without a doubt,pretty happy,spending too little,No
598,female,22,Yes,0,Bachelors,16,disagree,Believe without a doubt,not too happy,spending too much,Yes
599,male,87,Yes,2,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
600,male,78,Yes,5,High School,13,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
601,female,26,Yes,0,High School,12,agree,Believe without a doubt,pretty happy,spending too little,No
602,female,46,Yes,4,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too much,Yes
603,female,51,Yes,1,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too much,Yes
604,female,81,Yes,2,Graduate degree,17,disagree,Believe without a doubt,Very happy,spending too little,Yes
605,female,80,Yes,2,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,No
606,male,31,Yes,3,High School,12,agree,Belief in a higher power,pretty happy,spending too little,Yes
607,male,63,Yes,0,Bachelors,16,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
608,female,40,Yes,2,High School,12,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
609,male,72,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
610,female,57,Yes,2,Graduate degree,18,unsure,Believe without a doubt,not too happy,spending too much,Yes
611,female,49,No,2,High School,13,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
612,female,40,Yes,3,Graduate degree,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
613,female,42,Yes,0,Graduate degree,20,agree,"Don't know, no way to find out",not too happy,spending too little,No
614,female,32,No,1,Graduate degree,20,agree,Believe without a doubt,Very happy,spending too little,Yes
615,male,55,Yes,3,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
616,female,60,Yes,4,High School,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
617,female,52,Yes,3,High School,12,agree,Believe without a doubt,pretty happy,spending too much,Yes
618,male,68,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
619,female,29,Yes,2,Less than High School,11,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
620,male,85,Yes,0,Associates,14,unsure,Believe in god sometimes,Very happy,spending about the right amount,Yes
621,male,80,Yes,1,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,Yes
622,male,73,Yes,6,High School,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
623,male,40,Yes,0,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
624,female,55,Yes,4,Associates,14,agree,Believe without a doubt,not too happy,spending too little,Yes
625,male,70,Yes,2,Graduate degree,20,agree,Atheist,not too happy,spending too little,No
626,male,60,Yes,2,Bachelors,16,disagree,Believe without a doubt,not too happy,spending too little,Yes
627,male,40,Yes,4,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
628,female,60,Yes,3,High School,12,unsure,Believe without a doubt,not too happy,spending too little,Yes
629,female,72,Yes,2,Associates,15,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
630,female,48,Yes,3,Less than High School,11,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
631,female,40,No,4,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
632,female,25,Yes,1,Associates,14,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,No
633,male,39,Yes,1,High School,12,disagree,Atheist,pretty happy,spending about the right amount,Yes
634,female,68,No,0,High School,12,agree,Believe without a doubt,pretty happy,spending too little,No
635,female,75,No,4,High School,14,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
636,female,41,No,0,Associates,15,disagree,Belief in a higher power,not too happy,spending too little,Yes
637,female,37,Yes,1,Associates,16,agree,"Don't know, no way to find out",Very happy,spending too little,No
638,male,66,Yes,2,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
639,female,54,Yes,4,High School,14,disagree,Believe without a doubt,not too happy,spending too little,Yes
640,male,69,Yes,2,Bachelors,17,disagree,Belief in a higher power,pretty happy,spending too little,No
641,male,47,Yes,0,Bachelors,16,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
642,male,25,No,0,Bachelors,16,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
643,male,62,No,2,Bachelors,17,disagree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
644,male,59,Yes,2,High School,13,agree,Belief in a higher power,pretty happy,spending about the right amount,No
645,female,50,No,0,Associates,14,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
646,female,54,No,0,High School,10,disagree,Believe in god sometimes,not too happy,spending about the right amount,No
647,male,30,Yes,0,High School,12,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
648,female,28,No,0,Associates,15,agree,Believe without a doubt,pretty happy,spending too little,Yes
649,male,46,No,1,Associates,16,unsure,Believe without a doubt,Very happy,spending too little,Yes
650,female,51,Yes,5,Graduate degree,19,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
651,female,38,No,2,Graduate degree,18,agree,Belief in a higher power,pretty happy,spending too little,Yes
652,female,57,Yes,2,Graduate degree,20,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
653,female,50,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending too little,No
654,female,42,Yes,0,High School,12,unsure,"Believe, but with some doubts",pretty happy,spending too little,Yes
655,male,70,No,0,High School,14,agree,Belief in a higher power,not too happy,spending about the right amount,No
656,female,64,Yes,0,High School,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
657,male,41,Yes,2,High School,14,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
658,female,80,No,3,High School,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
659,male,65,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too much,Yes
660,female,87,Yes,3,High School,12,agree,Believe in god sometimes,not too happy,spending too little,No
661,female,61,Yes,2,High School,12,disagree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
662,male,58,Yes,0,Graduate degree,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
663,female,62,Yes,0,Graduate degree,18,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
664,male,63,Yes,0,Graduate degree,18,disagree,Believe without a doubt,Very happy,spending too much,Yes
665,male,33,Yes,0,Associates,16,disagree,Belief in a higher power,not too happy,spending about the right amount,No
666,female,55,Yes,2,Associates,15,unsure,Believe without a doubt,Very happy,spending too little,Yes
667,female,75,Yes,0,Graduate degree,20,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
668,male,68,No,4,Graduate degree,20,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
669,female,61,Yes,2,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,No
670,female,77,Yes,2,High School,12,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
671,female,53,Yes,1,Associates,14,disagree,Believe in god sometimes,pretty happy,spending about the right amount,No
672,female,72,Yes,1,High School,14,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
673,female,67,Yes,3,Bachelors,17,disagree,"Don't know, no way to find out",pretty happy,spending too little,No
674,female,74,Yes,4,High School,15,agree,Belief in a higher power,pretty happy,spending too little,Yes
675,female,52,No,2,High School,12,agree,Believe without a doubt,not too happy,spending too little,No
676,female,79,Yes,3,High School,14,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
677,female,58,Yes,2,High School,12,disagree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
678,female,28,No,0,Less than High School,8,unsure,"Don't know, no way to find out",Very happy,spending about the right amount,Yes
679,female,26,Yes,0,High School,13,agree,Believe without a doubt,pretty happy,spending too little,Yes
680,female,70,Yes,2,Less than High School,8,disagree,Believe without a doubt,Very happy,spending too little,Yes
681,male,75,Yes,4,High School,15,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
682,male,45,Yes,0,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
683,female,49,Yes,0,Associates,14,agree,Believe without a doubt,pretty happy,spending about the right amount,No
684,male,38,No,0,Bachelors,17,agree,Belief in a higher power,not too happy,spending too little,Yes
685,male,40,Yes,2,High School,14,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
686,female,57,Yes,3,High School,14,disagree,Believe without a doubt,not too happy,spending too little,Yes
687,female,43,Yes,2,Less than High School,11,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
688,male,53,Yes,1,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
689,male,74,Yes,7,High School,12,agree,Believe without a doubt,Very happy,spending too little,Yes
690,male,61,Yes,2,High School,13,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
691,male,86,Yes,6,Graduate degree,18,disagree,Believe without a doubt,not too happy,spending too little,Yes
692,male,25,Yes,0,Bachelors,20,unsure,Belief in a higher power,pretty happy,spending about the right amount,Yes
693,female,51,Yes,0,Bachelors,16,disagree,Believe in god sometimes,Very happy,spending too little,Yes
694,female,68,No,3,High School,9,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
695,female,60,Yes,1,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
696,male,45,No,2,High School,12,agree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
697,female,60,Yes,2,High School,14,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
698,male,27,Yes,0,Bachelors,16,disagree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
699,female,54,Yes,1,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
700,female,37,No,1,Graduate degree,20,agree,Believe without a doubt,Very happy,spending too little,Yes
701,female,50,Yes,2,Graduate degree,16,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,No
702,female,62,Yes,4,Less than High School,11,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
703,male,69,Yes,1,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,No
704,female,49,Yes,1,High School,14,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
705,male,75,Yes,5,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
706,female,28,No,4,High School,12,disagree,Believe in god sometimes,pretty happy,spending too little,No
707,female,70,Yes,3,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
708,female,31,Yes,3,Less than High School,8,agree,Believe without a doubt,not too happy,spending too little,Yes
709,male,74,Yes,2,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
710,female,33,Yes,1,High School,14,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
711,male,41,Yes,3,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
712,male,76,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
713,female,47,Yes,2,High School,14,disagree,Believe without a doubt,not too happy,spending too little,No
714,female,73,Yes,1,High School,15,agree,Believe without a doubt,Very happy,spending too little,Yes
715,male,53,Yes,2,Bachelors,16,unsure,Believe without a doubt,Very happy,spending too little,Yes
716,female,52,Yes,2,Associates,15,agree,Believe without a doubt,pretty happy,spending too little,No
